+-----+----------------------------------------------------+------------+------------+-------------+--------+----------------+------------+-----------+-----------------+------------------+-----------------------+----------------+----------------+---------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns   | end_ns     | duration_ns | stream | category       | grid       | block     | regs_per_thread | shared_mem_bytes | comm_algorithm        | comm_size_hint | transfer_bytes | transfer_kind | full_name                                                                                                                                                                                                |
| 45  | router_gemm_kernel_float_output                    | 4479950468 | 4479953444 | 2976        | 3488   | compute_kernel | (384,1,1)  | (128,1,1) | 64              | 16               |                       |                |                |               | void router_gemm_kernel_float_output<__nv_bfloat16, (int)128, (int)8, (int)1, (int)384, (int)7168>(float *, const T1 *, const T1 *)                                                                      |
| 46  | cvt_fp16_to_fp4                                    | 4479951012 | 4479953476 | 2464        | 7      | compute_kernel | (1,1,1)    | (512,1,1) | 32              | 0                |                       |                |                |               | void cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                                        |
| 47  | quantize_with_block_size                           | 4479952932 | 4479955844 | 2912        | 3488   | compute_kernel | (1,1,1)    | (512,1,1) | 30              | 0                |                       |                |                |               | void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)0, __nv_bfloat16, (int)16, (bool)0>(int, int, int, int, const T2 *, const float *, unsigned int *, uns... |
| 48  | device_kernel                                      | 4479953764 | 4479964740 | 10976       | 7      | compute_kernel | (1,4,1)    | (256,1,1) | 109             | 201728           |                       |                |                |               | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_1_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass:... |
| 49  | routingIndicesBlockKernel                          | 4479954916 | 4479962052 | 7136        | 3488   | compute_kernel | (1,1,1)    | (384,1,1) | 40              | 4768             |                       |                |                |               | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, (int)384, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev:... |
| 50  | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... | 4479961668 | 4479971236 | 9568        | 3488   | compute_kernel | (4,8,1)    | (512,1,1) | 128             | 202480           |                       |                |                |               | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f                             |
| 51  | act_and_mul_kernel                                 | 4479963172 | 4479966500 | 3328        | 7      | compute_kernel | (1,1,1)    | (256,1,1) | 32              | 0                |                       |                |                |               | void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)                                                                           |
| 52  | cvt_fp16_to_fp4                                    | 4479966596 | 4479968580 | 1984        | 7      | compute_kernel | (1,1,1)    | (32,1,1)  | 32              | 0                |                       |                |                |               | void cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                                        |
| 53  | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... | 4479967172 | 4479974980 | 7808        | 3488   | compute_kernel | (56,8,1)   | (512,1,1) | 128             | 184432           |                       |                |                |               | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s9_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 54  | device_kernel                                      | 4479973636 | 4479980004 | 6368        | 7      | compute_kernel | (1,112,1)  | (256,1,1) | 81              | 218112           |                       |                |                |               | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_64_128_1_1_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::... |
