# GPU Operations Trace - nvidia/Kimi-K2.5-NVFP4 on vLLM (GPU 0)
# Trace: trace-vllm-nvidia__Kimi-K2.5-NVFP4-tp_8-isl_4-osl_1024-b_1-mode_kimi_k25_nvfp4_b200.sqlite
# Total ops on device 0: 89772 | Showing last 1000 (steady-state)
# Time window: 731620171 .. 778401251 ns
# Categories: {'compute_kernel': 920, 'communication': 68, 'memory_transfer': 12}
#
+-----+----------------------------------------------------+-----------+-----------+-------------+--------+-----------------+-------+-------+------+--------+-----------+-----------+------------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns  | end_ns    | duration_ns | stream | category        | grid  | block | regs | shmem  | comm_algo | comm_size | xfer_bytes | xfer_kind | full_name                                                                                                                                                                                                |
| 27  | routingIndicesBlockKernel                          | 731711755 | 731719179 | 7424        | 23     | compute_kernel  | 1     | 384   | 40   | 4768   |           |           |            |           | void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, (int)384, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::.. |
| 28  | triton_poi_fused_mul_silu_slice_0                  | 731714827 | 731717131 | 2304        | 3649   | compute_kernel  | 1     | 128   | 16   | 0      |           |           |            |           | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
| 29  | vectorized_elementwise_kernel                      | 731717611 | 731718923 | 1312        | 3649   | compute_kernel  | 1     | 128   | 16   | 0      |           |           |            |           | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)                                                                  |
| 30  | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512.. | 731719019 | 731729195 | 10176       | 23     | compute_kernel  | 4x8   | 512   | 128  | 202240 |           |           |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f                                         |
| 31  | cvt_fp16_to_fp4                                    | 731719403 | 731720939 | 1536        | 3649   | compute_kernel  | 128   | 32    | 32   | 0      |           |           |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                             |
| 32  | device_kernel                                      | 731721099 | 731725675 | 4576        | 3649   | compute_kernel  | 1x56  | 256   | 109  | 201728 |           |           |            |           | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::.. |
| 33  | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_.. | 731725163 | 731732683 | 7520        | 23     | compute_kernel  | 56x8  | 512   | 128  | 184432 |           |           |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s9_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 34  | finalizeKernel                                     | 731731915 | 731735339 | 3424        | 23     | compute_kernel  | 28    | 256   | 32   | 0      |           |           |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)                                                                 |
| 35  | triton_poi_fused_add_mul_0                         | 731735627 | 731737226 | 1599        | 23     | compute_kernel  | 7     | 128   | 26   | 0      |           |           |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 36  | allreduce_fusion_kernel_oneshot_lamport            | 731737227 | 731746379 | 9152        | 23     | communication   | 4     | 224   | 62   | 136    | allreduce | 896       |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, (int)8, (bool)1, (bool)1>(flashinfer:.. |
| 37  | fused_a_gemm_kernel                                | 731746699 | 731754091 | 7392        | 23     | compute_kernel  | 132   | 256   | 48   | 197632 |           |           |            |           | void fused_a_gemm_kernel<(int)1, (int)2112, (int)7168, (int)16, (int)8, (int)256, (int)16>(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int)                                           |
| 38  | triton_poi_fused_1                                 | 731754411 | 731756139 | 1728        | 23     | compute_kernel  | 1     | 128   | 47   | 0      |           |           |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 39  | triton_red_fused_2                                 | 731756491 | 731758667 | 2176        | 23     | compute_kernel  | 2     | 512   | 26   | 8192   |           |           |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 40  | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 731758635 | 731764587 | 5952        | 23     | compute_kernel  | 96    | 256   | 255  | 172552 |           |           |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
